"HH_ID","ID","age","sex","birth_date","ID_mother","ID_father","date_prev_birth","num_births","ID_partner","union","child","mother","father","parent","HH_adults","age_first_birth","original_ID","hh_position","partner","main_parent","random_inf","enter_pop","comm_hh_prop","child18_hh","disease_state","inf_time","age_group_hh","age_group_pop","age_group","age_group_trans","parent_pop","transition","event_date","age_partner","immigrant","HH_size","HH_children","lipro_child_hh","NH"
4670632,10588253,44,"M",1967-08-05,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F668B39F4239B31D","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,22,22,0,NA,NA,NA,NA,1,0,0,0
4670687,10588555,75,"F",1936-05-15,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F66A9EE722409F9E","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,38,40,0,NA,NA,NA,NA,1,0,0,0
4671150,10591434,30,"M",1981-03-22,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F67C42F7FFC38B26","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,18,18,0,NA,NA,NA,NA,1,0,0,0
4671491,10593500,36,"M",1975-05-09,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F68831CD06D721BB","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,NA,NA,NA,1,0,0,0
4671706,10594831,52,"M",1959-08-28,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F68FFA7B0BA2E958","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,28,28,0,NA,NA,NA,NA,1,0,0,0
4671985,10596645,53,"F",1958-07-12,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F69B22A7FB1A0066","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,29,29,0,NA,NA,NA,NA,1,0,0,0
4672246,10598205,80,"F",1931-08-07,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F6A48FFAC2EF8EF0","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,38,40,0,NA,NA,NA,NA,1,0,0,0
4672249,10598223,85,"F",1926-02-27,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F6A4A3A31CA4586C","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,38,43,0,NA,NA,NA,NA,1,0,0,0
4673484,10606057,30,"M",1981-01-02,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F6D2B907117D41B3","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,NA,NA,1,0,0,0
4673559,10606531,29,"F",1982-08-16,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,"F6D583F1C8B79A68","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,NA,NA,1,0,0,0
4673752,10607674,46,"M",1965-10-08,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F6DC3AD40FF287A3","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,24,24,0,NA,NA,NA,NA,1,0,0,0
4673888,10608605,70,"M",1941-03-11,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F6E1FB87CF10A093","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,36,36,0,NA,NA,NA,NA,1,0,0,0
4675374,10618254,41,"F",1970-03-18,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,"F71A100B9F189278","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,22,22,0,NA,NA,NA,NA,1,0,0,0
4675602,10619815,32,"M",1979-07-07,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F7232EFB13A9444F","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,NA,NA,1,0,0,0
4676851,10627663,51,"F",1960-01-01,NA,NA,1991-06-16,1,NA,0,0,0,0,0,1,31.4767123287671,"F751C87667C07275","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,26,26,0,NA,NA,NA,NA,1,0,0,0
4676906,10627980,63,"F",1948-02-08,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F753942093D706FC","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,34,34,0,NA,NA,NA,NA,1,0,0,0
4678219,10636313,46,"F",1965-07-19,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,"F784F9613BB06317","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,23,23,0,NA,NA,NA,NA,1,0,0,0
4678490,10638048,29,"M",1982-03-19,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F78F3E5A48CD6B11","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,NA,NA,1,0,0,0
4679073,10641890,20,"M",1991-03-21,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F7A548AF0DBEB1BE","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,10,10,0,NA,NA,NA,NA,1,0,0,0
4679150,10642441,30,"F",1981-07-23,NA,NA,NA,0,NA,0,0,0,0,0,1,NA,"F7A8A6D9F3FF7575","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,17,17,0,NA,NA,NA,NA,1,0,0,0
4680118,10648864,48,"M",1963-07-23,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F7CF9E37CD1C5921","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,27,27,0,NA,NA,NA,NA,1,0,0,0
4680157,10649091,76,"F",1935-04-29,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F7D0D1B2DDE6BD71","single",1,NA,NA,NA,NA,NA,NA,NA,4,4,38,40,0,NA,NA,NA,NA,1,0,0,0
4680304,10650025,36,"M",1975-03-06,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F7D64B563E46E605","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,NA,NA,NA,1,0,0,0
4680352,10650323,54,"F",1957-01-21,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F7D811665B7F18A4","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,30,30,0,NA,NA,NA,NA,1,0,0,0
4680511,10651302,29,"F",1982-01-04,NA,NA,2010-08-21,4,NA,0,0,0,0,0,1,18.1479452054795,"F7DDEE4DC59A8465","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,16,16,0,NA,NA,NA,NA,1,0,0,0
4681597,10658561,52,"M",1959-04-12,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F8093047B8F13539","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,27,27,0,NA,NA,NA,NA,1,0,0,0
4681730,10659442,60,"M",1951-02-20,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,"F80E64982723CF68","single",1,NA,NA,NA,NA,NA,NA,NA,3,3,31,31,0,NA,NA,NA,NA,1,0,0,0
